Income,Age,Size,Population
0,15,233.0462,2330462
149,15,13.4491,134491
299,15,7.7596,77596
399,15,3.0863,30863
499,15,3.0428,30428
649,15,3.9988,39988
799,15,2.5466,25466
999,15,1.6599,16599
1249,15,0.8305,8305
1499,15,0.2729,2729
1749,15,0.136,1360
1999,15,0.0575,575
2999,15,0.0521,521
3499,15,0.0159,159
3500,15,0.0461,461
0,20,7.1405,71405
149,20,2.7919,27919
299,20,6.3524,63524
399,20,5.695,56950
499,20,5.2988,52988
649,20,7.6758,76758
799,20,9.2065,92065
999,20,10.6864,106864
1249,20,8.9415,89415
1499,20,5.0515,50515
1749,20,2.6445,26445
1999,20,1.2377,12377
2999,20,1.2371,12371
3499,20,0.183,1830
3500,20,0.2248,2248
0,25,6.1323,61323
149,25,1.206,12060
299,25,4.1256,41256
399,25,5.9062,59062
499,25,5.4144,54144
649,25,7.811,78110
799,25,10.7237,107237
999,25,19.0101,190101
1249,25,25.3148,253148
1499,25,20.4733,204733
1749,25,17.7553,177553
1999,25,12.3848,123848
2999,25,19.9901,199901
3499,25,3.7621,37621
3500,25,4.1765,41765
0,35,4.384,43840
149,35,0.9594,9594
299,35,3.101,31010
399,35,4.4983,44983
499,35,4.1687,41687
649,35,5.2205,52205
799,35,6.8592,68592
999,35,12.4179,124179
1249,35,18.3954,183954
1499,35,16.2272,162272
1749,35,16.2506,162506
1999,35,13.9917,139917
2999,35,30.3707,303707
3499,35,8.2032,82032
3500,35,13.8287,138287
0,45,4.89,48900
149,45,1.245,12450
299,45,3.5151,35151
399,45,5.5112,55112
499,45,5.2209,52209
649,45,5.5394,55394
799,45,6.4687,64687
999,45,11.3892,113892
1249,45,16.1923,161923
1499,45,13.754,137540
1749,45,13.7333,137333
1999,45,11.8911,118911
2999,45,25.3897,253897
3499,45,7.1957,71957
3500,45,15.7499,157499
0,55,7.8981,78981
149,55,2.2296,22296
299,55,5.2145,52145
399,55,8.4762,84762
499,55,7.7567,77567
649,55,7.5407,75407
799,55,7.7647,77647
999,55,11.7098,117098
1249,55,15.5534,155534
1499,55,11.842,118420
1749,55,11.0911,110911
1999,55,8.8257,88257
2999,55,16.6514,166514
3499,55,4.4958,44958
3500,55,9.7946,97946
0,65,7.9097,79097
149,65,3.0627,30627
299,65,6.6614,66614
399,65,18.0976,180976
499,65,14.9579,149579
649,65,11.8233,118233
799,65,9.0066,90066
999,65,8.3914,83914
1249,65,8.9541,89541
1499,65,5.6744,56744
1749,65,4.4287,44287
1999,65,2.9284,29284
2999,65,4.4929,44929
3499,65,1.2505,12505
3500,65,3.0909,30909
0,75,3.3038,33038
149,75,1.3752,13752
299,75,3.7641,37641
399,75,14.4055,144055
499,75,10.4767,104767
649,75,7.1324,71324
799,75,5.2392,52392
999,75,3.6095,36095
1249,75,3.0772,30772
1499,75,1.6834,16834
1749,75,1.3442,13442
1999,75,0.7764,7764
2999,75,1.0657,10657
3499,75,0.3275,3275
3500,75,0.9263,9263
0,85,1.0747,10747
149,85,0.427,4270
299,85,1.155,11550
399,85,4.2541,42541
499,85,4.2602,42602
649,85,2.0258,20258
799,85,1.3997,13997
999,85,0.9282,9282
1249,85,0.6039,6039
1499,85,0.335,3350
1749,85,0.3391,3391
1999,85,0.1687,1687
2999,85,0.2278,2278
3499,85,0.0778,778
3500,85,0.2409,2409
